music,link,artist_name,sid
你就不要想起我,https://music.163.com/song?id=28018075,田馥甄,9548
魔鬼中的天使,https://music.163.com/song?id=296837,田馥甄,9548
小幸运 - (电影《我的少女时代》主题曲),https://music.163.com/song?id=33206214,田馥甄,9548
爱了很久的朋友 - (电影《后来的我们》插曲),https://music.163.com/song?id=547976490,田馥甄,9548
只对你有感觉,https://music.163.com/song?id=354620,田馥甄,9548
寂寞寂寞就好 - (电视剧《我爱幸运七》插曲),https://music.163.com/song?id=296885,田馥甄,9548
不醉不会 - (电视剧《没有名字的甜点店》主题曲),https://music.163.com/song?id=28018072,田馥甄,9548
爱着爱着就永远,https://music.163.com/song?id=28038055,田馥甄,9548
还是要幸福,https://music.163.com/song?id=296836,田馥甄,9548
最暖的忧伤 - (电视剧《温暖的弦》主题曲),https://music.163.com/song?id=553546087,田馥甄,9548
灵魂伴侣,https://music.163.com/song?id=417953665,田馥甄,9548
我想我不会爱你,https://music.163.com/song?id=296883,田馥甄,9548
你太猖狂,https://music.163.com/song?id=296888,田馥甄,9548
My Love,https://music.163.com/song?id=296834,田馥甄,9548
独善其身,https://music.163.com/song?id=417953669,田馥甄,9548
囚鸟 (Live),https://music.163.com/song?id=296829,田馥甄,9548
矛盾,https://music.163.com/song?id=28038058,田馥甄,9548
渺小,https://music.163.com/song?id=27968284,田馥甄,9548
这个人已经与我无关,https://music.163.com/song?id=28038062,田馥甄,9548
你,https://music.163.com/song?id=296841,田馥甄,9548
我对不起我,https://music.163.com/song?id=296881,田馥甄,9548
热情,https://music.163.com/song?id=28935298,田馥甄,9548
给小孩,https://music.163.com/song?id=296894,田馥甄,9548
日常,https://music.163.com/song?id=417953660,田馥甄,9548
余波荡漾,https://music.163.com/song?id=417953666,田馥甄,9548
Love! - (电影《LOVE》主题曲),https://music.163.com/song?id=296897,田馥甄,9548
终身大事,https://music.163.com/song?id=28038060,田馥甄,9548
无常,https://music.163.com/song?id=28038059,田馥甄,9548
无用,https://music.163.com/song?id=417953662,田馥甄,9548
离岛,https://music.163.com/song?id=296877,田馥甄,9548
看淡 - (电视剧《一把青》片头曲),https://music.163.com/song?id=428095024,田馥甄,9548
花花世界,https://music.163.com/song?id=296839,田馥甄,9548
我真的受伤了 (Live),https://music.163.com/song?id=28949115,田馥甄,9548
傻子(春浪2013live版),https://music.163.com/song?id=27890500,田馥甄,9548
自己的房间,https://music.163.com/song?id=1302090508,田馥甄,9548
追梦人 + 野百合也有春天 + 鹿港小镇 + 沉默的表示 + 爱的箴言 + 是否 ,https://music.163.com/song?id=430208761,田馥甄,9548
十万嬉皮 (Live),https://music.163.com/song?id=31246280,田馥甄,9548
请你给我好一点的情敌,https://music.163.com/song?id=296835,田馥甄,9548
魔鬼中的天使+你就不要想起我 (Live),https://music.163.com/song?id=445844794,田馥甄,9548
超级玛丽,https://music.163.com/song?id=296891,田馥甄,9548
Loving Strangers (Live),https://music.163.com/song?id=541480552,田馥甄,9548
遗憾,https://music.163.com/song?id=27946386,田馥甄,9548
叶子 (Live),https://music.163.com/song?id=296862,田馥甄,9548
无事生非,https://music.163.com/song?id=296838,田馥甄,9548
To Hebe,https://music.163.com/song?id=296874,田馥甄,9548
人间烟火,https://music.163.com/song?id=417953661,田馥甄,9548
离别曲,https://music.163.com/song?id=209045,田馥甄,9548
美女与野兽 - (电影《美女与野兽》同名主题曲),https://music.163.com/song?id=459275100,田馥甄,9548
夏夜晚风 (live),https://music.163.com/song?id=34200650,田馥甄,9548
什么，哪里,https://music.163.com/song?id=417953667,田馥甄,9548
