music,link,id,artist_name,created_at
富士山下,https://music.163.com/song?id=65766,2116,陈奕迅,2019-07-31 12:13:34
我们 - (电影《后来的我们》主题曲),https://music.163.com/song?id=551816010,2116,陈奕迅,2019-07-31 12:13:34
淘汰,https://music.163.com/song?id=65528,2116,陈奕迅,2019-07-31 12:13:34
红玫瑰,https://music.163.com/song?id=65533,2116,陈奕迅,2019-07-31 12:13:34
好久不见,https://music.163.com/song?id=65538,2116,陈奕迅,2019-07-31 12:13:34
阴天快乐,https://music.163.com/song?id=28563317,2116,陈奕迅,2019-07-31 12:13:34
爱情转移 - (电影《爱情呼叫转移》主题曲),https://music.163.com/song?id=65536,2116,陈奕迅,2019-07-31 12:13:34
最佳损友,https://music.163.com/song?id=65800,2116,陈奕迅,2019-07-31 12:13:34
相信你的人 - (电影《银河补习班》推广曲),https://music.163.com/song?id=1376091684,2116,陈奕迅,2019-07-31 12:13:34
浮夸,https://music.163.com/song?id=66282,2116,陈奕迅,2019-07-31 12:13:34
你给我听好,https://music.163.com/song?id=28481103,2116,陈奕迅,2019-07-31 12:13:34
一丝不挂,https://music.163.com/song?id=64634,2116,陈奕迅,2019-07-31 12:13:34
孤独患者,https://music.163.com/song?id=64093,2116,陈奕迅,2019-07-31 12:13:34
可以了,https://music.163.com/song?id=28481818,2116,陈奕迅,2019-07-31 12:13:34
单车(Live),https://music.163.com/song?id=64561,2116,陈奕迅,2019-07-31 12:13:34
苦瓜,https://music.163.com/song?id=64293,2116,陈奕迅,2019-07-31 12:13:34
人来人往 (Live),https://music.163.com/song?id=65923,2116,陈奕迅,2019-07-31 12:13:34
K歌之王 (Live),https://music.163.com/song?id=65919,2116,陈奕迅,2019-07-31 12:13:34
十年(Live),https://music.163.com/song?id=31877628,2116,陈奕迅,2019-07-31 12:13:34
白玫瑰,https://music.163.com/song?id=65761,2116,陈奕迅,2019-07-31 12:13:34
倾城,https://music.163.com/song?id=27867449,2116,陈奕迅,2019-07-31 12:13:34
梦想天空分外蓝,https://music.163.com/song?id=25638273,2116,陈奕迅,2019-07-31 12:13:34
葡萄成熟时,https://music.163.com/song?id=66285,2116,陈奕迅,2019-07-31 12:13:34
内疚,https://music.163.com/song?id=64126,2116,陈奕迅,2019-07-31 12:13:34
约定(Live),https://music.163.com/song?id=64443,2116,陈奕迅,2019-07-31 12:13:34
完,https://music.163.com/song?id=64048,2116,陈奕迅,2019-07-31 12:13:34
于心有愧,https://music.163.com/song?id=64797,2116,陈奕迅,2019-07-31 12:13:34
落花流水,https://music.163.com/song?id=64922,2116,陈奕迅,2019-07-31 12:13:34
斯德哥尔摩情人,https://music.163.com/song?id=27483204,2116,陈奕迅,2019-07-31 12:13:34
沙龙,https://music.163.com/song?id=64833,2116,陈奕迅,2019-07-31 12:13:34
陪你度过漫长岁月 - (电影《陪安东尼度过漫长岁月》主题曲),https://music.163.com/song?id=35403523,2116,陈奕迅,2019-07-31 12:13:34
最冷一天,https://music.163.com/song?id=186331,2116,陈奕迅,2019-07-31 12:13:34
失忆蝴蝶,https://music.163.com/song?id=27483203,2116,陈奕迅,2019-07-31 12:13:34
不如不见,https://music.163.com/song?id=65769,2116,陈奕迅,2019-07-31 12:13:34
无人之境,https://music.163.com/song?id=64625,2116,陈奕迅,2019-07-31 12:13:34
陀飞轮,https://music.163.com/song?id=64638,2116,陈奕迅,2019-07-31 12:13:34
明年今日 (2007 Live),https://music.163.com/song?id=65312,2116,陈奕迅,2019-07-31 12:13:34
十面埋伏 (Live),https://music.163.com/song?id=65904,2116,陈奕迅,2019-07-31 12:13:34
裙下之臣,https://music.163.com/song?id=65758,2116,陈奕迅,2019-07-31 12:13:34
夕阳无限好,https://music.163.com/song?id=66272,2116,陈奕迅,2019-07-31 12:13:34
婚礼的祝福,https://music.163.com/song?id=67572,2116,陈奕迅,2019-07-31 12:13:34
承诺(香港版),https://music.163.com/song?id=5251209,2116,陈奕迅,2019-07-31 12:13:34
阿牛,https://music.163.com/song?id=66265,2116,陈奕迅,2019-07-31 12:13:34
Sleep Alone - (电影《陪安东尼度过漫长岁月》英文主题曲),https://music.163.com/song?id=36539010,2116,陈奕迅,2019-07-31 12:13:34
四季,https://music.163.com/song?id=437802725,2116,陈奕迅,2019-07-31 12:13:34
等(Live),https://music.163.com/song?id=64566,2116,陈奕迅,2019-07-31 12:13:34
让我留在你身边 - (电影《摆渡人》爱情版主题曲),https://music.163.com/song?id=438801672,2116,陈奕迅,2019-07-31 12:13:34
心的距离,https://music.163.com/song?id=64699,2116,陈奕迅,2019-07-31 12:13:34
Nothing Ever Happened,https://music.163.com/song?id=64682,2116,陈奕迅,2019-07-31 12:13:34
Shall We Talk (Live),https://music.163.com/song?id=65855,2116,陈奕迅,2019-07-31 12:13:34
